Map 1,1/26/2018,TS,,
,,,,
Grid point ,X,Y,Z,MEP size (uV)
"LH mapXL (-2, -2)",149.994,111.673,205.421,0
"LH mapXL (-2, -2)",150.519,111.114,203.927,0
"LH mapXL (-2, -2)",151.023,112.157,203.867,0
"LH mapXL (-2, -4)",156.481,121.692,201.664,0
"LH mapXL (-2, -4)",155.823,122.205,202.076,0
"LH mapXL (-2, -4)",155.873,121.168,201.427,0
"LH mapXL (-2, 2)",142.495,99.808,207.598,0
"LH mapXL (-2, 2)",142.041,99.125,207.573,0
"LH mapXL (-2, 2)",141.692,98.91,207.38,0
"LH mapXL (-2, 4)",133.897,89.722,209.156,0
"LH mapXL (-2, 4)",133.508,89.614,209.671,57.82421875
"LH mapXL (-2, 4)",134.224,89.266,208.537,0
"LH mapXL (-2, 6)",125.757,78.677,209.197,0
"LH mapXL (-2, 6)",125.234,78.719,209.365,0
"LH mapXL (-2, 6)",125.205,78.947,209.157,0
"LH mapXL (2, -2)",141.073,120.278,219.535,810.853515625
"LH mapXL (2, -2)",141.106,120.369,219.105,843.556640625
"LH mapXL (2, -2)",141.433,120.48,218.802,1188.142578125
"LH mapXL (2, -4)",145.588,128.876,218.043,592.267578125
"LH mapXL (2, -4)",145.677,128.466,217.843,1406.81640625
"LH mapXL (2, -4)",146.23,128.743,217.589,702.66015625
"LH mapXL (2, -6)",150.531,138.61,216.903,319.30859375
"LH mapXL (2, -6)",149.83,138.967,218.009,104.36328125
"LH mapXL (2, -6)",150.395,138.652,217.653,119.958984375
"LH mapXL (2, -8)",157.558,152.207,206.544,0
"LH mapXL (2, -8)",157.166,152.633,206.422,0
"LH mapXL (2, -8)",157.445,153.466,205.746,0
"LH mapXL (2, 1)",134.268,110.871,222.085,824.984375
"LH mapXL (2, 1)",134.383,110.739,221.575,420.748046875
"LH mapXL (2, 1)",134.234,110.713,221.764,921.939453125
"LH mapXL (2, 3)",126.731,101.424,223.29,361.65234375
"LH mapXL (2, 3)",126.181,101.819,223.65,447.48046875
"LH mapXL (2, 3)",126.378,101.6,223.564,643.357421875
"LH mapXL (2, 5)",118.117,90.608,222.585,0
"LH mapXL (2, 5)",118.079,90.924,222.74,0
"LH mapXL (2, 5)",118.076,91.118,223.088,99.90625
"LH mapXL (2, 7)",110.409,81.095,220.749,0
"LH mapXL (2, 7)",110.362,80.988,220.605,0
"LH mapXL (2, 7)",110.174,80.956,220.606,0
"LH mapXL (4, -2)",131.308,127.779,229.745,346.970703125
"LH mapXL (4, -2)",130.371,128.369,230.263,378.0625
"LH mapXL (4, -2)",131.087,127.792,229.367,464.138671875
"LH mapXL (4, -4)",137.731,137.18,227.334,773.880859375
"LH mapXL (4, -4)",137.349,136.577,227.131,620.21484375
"LH mapXL (4, -4)",136.963,136.556,227.197,489.21484375
"LH mapXL (4, -6)",143.37,146.746,223.496,535.1328125
"LH mapXL (4, -6)",142.57,145.733,223.915,0
"LH mapXL (4, -6)",142.754,145.852,223.667,114.650390625
"LH mapXL (4, -8)",149.383,159.337,216.323,0
"LH mapXL (4, -8)",149.619,159.194,215.816,0
"LH mapXL (4, -8)",149.928,159.021,215.259,0
"LH mapXL (4, 1)",122.908,117.915,232.668,819.42578125
"LH mapXL (4, 1)",123.841,118.295,231.441,840.701171875
"LH mapXL (4, 3)",115.765,108.278,231.549,198.939453125
"LH mapXL (4, 3)",116.439,107.437,230.475,461.939453125
"LH mapXL (4, 3)",115.529,107.794,230.956,472.103515625
"LH mapXL (4, 5)",109.572,100.037,230.909,224.123046875
"LH mapXL (4, 5)",109.237,99.839,231.021,179.890625
"LH mapXL (4, 5)",109.345,99.967,231.073,106.09375
"LH mapXL (4, 7)",96.759,87.615,229.693,0
"LH mapXL (4, 7)",96.357,87.791,229.726,0
"LH mapXL (4, 7)",96.406,88.363,230.045,0
"LH mapXL (6, -2)",120.645,133.185,236.455,91.6328125
"LH mapXL (6, -2)",120.043,131.81,236.524,221.392578125
"LH mapXL (6, -2)",120.042,131.83,236.616,118.783203125
"LH mapXL (6, -4)",127.921,142.245,233.821,307.578125
"LH mapXL (6, -4)",128.265,141.641,233.279,0
"LH mapXL (6, -4)",127.593,141.775,233.803,170.064453125
"LH mapXL (6, -6)",134.222,150.008,231.912,366.443359375
"LH mapXL (6, -6)",133.628,150.221,232.134,0
"LH mapXL (6, -6)",133.158,149.221,231.52,0
"LH mapXL (6, -8)",139.199,165.429,225.696,0
"LH mapXL (6, -8)",139.12,165.19,225.45,0
"LH mapXL (6, -8)",139.304,165.198,225.024,0
"LH mapXL (6, 1)",114.793,123.643,237.477,0
"LH mapXL (6, 1)",114.765,123.758,237.052,0
"LH mapXL (6, 1)",114.217,124.044,237.289,0
"LH mapXL (6, 3)",106.953,115.73,237.314,0
"LH mapXL (6, 3)",106.792,115.412,237.081,0
"LH mapXL (6, 3)",106.252,115.487,237.121,0
"LH mapXL (6, 5)",96.969,107.247,237.319,0
"LH mapXL (6, 5)",97.448,106.159,236.94,0
"LH mapXL (6, 5)",97.086,106.653,237.166,0
"LH mapXL (8, -2)",105.412,139.318,242.925,0
"LH mapXL (8, -2)",107.031,139.373,242.101,0
"LH mapXL (8, -2)",106.248,138.618,242.297,0
"LH mapXL (8, -4)",114.882,148.883,240.77,0
"LH mapXL (8, -4)",114.048,147.226,241.049,0
"LH mapXL (8, -4)",114.08,147.269,240.844,0
"LH mapXL (8, -6)",115.729,160.702,240.362,0
"LH mapXL (8, -6)",115.641,160.396,240.146,0
"LH mapXL (8, -6)",115.794,159.906,240.592,0
"LH mapXL (8, -8)",119.617,176.09,234.926,0
"LH mapXL (8, -8)",119.198,177.38,234.278,0
"LH mapXL (8, -8)",119.146,177.8,233.79,0
"LH mapXL (8, 1)",97.603,129.677,242.799,0
"LH mapXL (8, 1)",97.742,130.036,242.658,0
"LH mapXL (8, 1)",98.371,130.188,242.694,0
"LH mapXL (8, 3)",91.094,124.345,243.111,0
"LH mapXL (8, 3)",90.492,124.971,243.443,0
"LH mapXL (8, 3)",90.871,125.212,243.2,0
"LH mapXL (8, 5)",71.826,117.142,240.711,0
"LH mapXL (8, 5)",71.421,116.326,240.819,0
"LH mapXL (8, 5)",71.503,116.907,240.816,0
